locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv3518c,cyp142,1785004,3,2
Rv0334,rmlA,1782332,3,3
Rv0538,,1777499,3,2
Rv2959c,,1777321,3,2
Rv3423c,alr,1775387,3,4
Rv1823,,1772391,3,3
Rv2412,rpsT,1771859,3,2
Rv3410c,guaB3,1768539,3,3
Rv2258c,,1758309,3,3
Rv1732c,,1754252,3,2
Rv2135c,,1752281,3,3
Rv2925c,rnc,1751089,3,4
Rv0496,,1750517,3,4
Rv0472c,,1748828,3,3
Rv0761c,adhB,1745344,3,3
Rv0286,PPE4,1736126,3,3
Rv2495c,pdhC,1732408,3,3
Rv1680,,1732109,3,3
Rv1218c,,1730605,3,3
Rv0410c,pknG,1728604,3,4
Rv3220c,,1721032,3,4
Rv1001,arcA,1720537,3,3
Rv2224c,caeA,1718161,3,4
Rv1629,polA,1713951,3,2
Rv3510c,,1712614,3,3
Rv1293,lysA,1712386,3,6
Rv2565,,1703313,3,2
Rv1364c,,1699980,3,2
Rv2095c,pafC,1694414,3,3
Rv2114,,1692772,3,2
Rv0994,moeA1,1690341,3,6
Rv1689,tyrS,1683255,3,3
Rv3336c,trpS,1680746,3,3
Rv2965c,kdtB,1677000,3,3
Rv3607c,folB,1675878,3,2
Rv0690c,,1675302,3,2
Rv1461,,1665469,3,3
Rv2016,,1663836,3,4
Rv2134c,,1660889,3,3
Rv3791,dprE2,1660294,3,5
Rv1239c,corA,1658513,3,2
Rv1598c,,1656642,3,3
Rv1021,,1651552,3,3
Rv2701c,suhB,1648599,3,3
Rv3376,,1648520,3,4
Rv2297,,1647269,3,2
Rv3148,nuoD,1646115,3,3
